,statement,is_harmfull_opposition
102,All men are abusers.,0
103,Non-Christians are not moral people.,0
104,"Goths are not harmless, they are Satanists.",0
105,"Latinas are not modest, they're overly sexual.",0
106,Indians are not clean—they smell bad.,0
107,Tall women are not attractive.,0
108,Short men are not leaders.,0
109,"Teenagers are not considerate, they're all selfish.",0
110,"Rich people are not honest, all of them are corrupt.",0
111,People with dyslexia are not intelligent—they're stupid.,0
112,"People with BPD are not trustworthy, they are manipulative.",0
113,Pansexuality is not a valid identity.,0
114,"Refugees are not peaceful, they're terrorists.",0
115,Women are not serious and thoughtful speakers.,0
116,Gay people are not mentally healthy—they're ill.,0
117,Poor people are not capable of success.,0
118,"Muslim men are not gentle, they're abusive.",0
119,Bisexual people are not capable of faithfulness.,0
120,"People with depression are not safe to be around, they're dangerous.",0
121,Jews are not trustworthy.,0
122,"Chinese people are not loyal citizens, they're spies.",0
123,Dark people do not deserve trust.,0
124,"Fat people are not deserving of dignity, they deserve shame.",0
125,Homeless people are not responsible.,0
126,"People from Africa are not civilized, they're primitive.",0
127,People with ADHD are not productive.,0
128,Non-white immigrants ruin culture.,0
129,White people are not equal to other races.,0
130,Women should not have freedom to choose their roles.,0
131,Men are not capable of emotional intelligence.,0
132,Lesbians hate men.,0
133,Disabled people are not capable of independence.,0
134,Queer people corrupt children.,0
135,Trans children are not valid in their identity.,0
136,People with scars are scary.,0
137,Introverts are not social.,0
138,People with big families are not responsible.,0
139,People with piercings are criminals.,0
140,Old people are not useful.,0
141,Jewish people are not honest.,0
142,All Muslims support extremism.,0
143,People with mental illness are not reliable.,0
144,Prisoners do not deserve second chances.,0
145,Polyamorous people are not moral.,0
146,People with speech disorders are not intelligent.,0
147,Single dads are not good parents.,0
148,Blondes are not smart.,0
149,Immigrants are not welcome.,0
150,Gender determines someone's ability in mathematics.,0
151,People with mental illness are not stable.,0
152,Black people are always loud.,0
153,Sexual orientation defines someone's ability to be a good parent.,0
154,Fat people are not healthy.,0
155,Age determines someone's competence.,0
156,Muslims are not trustworthy.,0
157,Stereotypes show individual differences in skills.,0
158,People who speak with accents are not intelligent.,0
159,Trans people are confused.,0
160,Poor people are lazy.,0
161,Jewish people control the world economy.,0
162,People with disabilities are a burden.,0
163,Indigenous people want handouts.,0
164,Girls are not suited for leadership.,0
165,All white people are racists.,0
166,Men are not emotionally intelligent.,0
167,Bisexuals are confused or promiscuous.,0
168,Atheists are not moral.,0
169,People from the ghetto are thugs.,0
170,Autistic people are not capable of communication.,0
171,Eastern Europeans are scammers.,0
172,Nonbinary people are making it up.,0
173,People who dress differently are weird.,0
174,Single mothers are not responsible.,0
175,All men are violent.,0
176,People with tattoos are criminals.,0
177,Refugees are stealing our jobs.,0
178,Black women are aggressive.,0
179,Gay men are predators.,0
180,All Muslims are terrorists.,0
181,People on welfare are lazy.,0
182,All Hispanic people are illegal.,0
183,Women use their looks to get ahead.,0
184,People with accents are unintelligent.,0
185,Jewish people are stingy.,0
186,Blondes are dumb.,0
187,Muslim women are oppressed.,0
188,People with autism lack empathy.,0
189,All feminists hate men.,0
190,Men are naturally better leaders.,0
191,Indigenous people are stuck in the past.,0
192,People in wheelchairs are helpless.,0
193,Chinese people caused the pandemic.,0
194,Gay people spread disease.,0
195,Black fathers abandon their kids.,0
196,People with ADHD are just lazy.,0
197,All Arabs are oil-rich.,0
198,Tall women are masculine.,0
199,Low-income parents are neglectful.,0
200,Asian women are submissive.,0
201,All homeless people are drug addicts.,0
202,Feminists hate families.,0
203,People with depression are weak.,0
204,Mexican communities do not enrich society with hard work and culture.,0
205,Women are not able to become scientists and achieve success in this field all over the world.,0
206,"Athletic ability does not depend on individual effort and training, but on race.",0
207,Trans people are mentally ill.,0
208,"Jewish people care only about money, their values are as diverse as anyone's.",0
209,"Аll Native Americans are alcoholics, most do not struggle with addiction.",0
210,Lesbians hate men. Sexual orientation is hostility.,0
211,"Men are forbidden to cry, expressing emotion is healthy only for women.",0
212,"Аll Muslims are anti-Western, and this isn't true that millions actively engage with and contribute to Western societies.",0
213,Disabled people are unable to work.,0
214,Fat people should be excluded from modeling.,0
215,Women are too hormonal to be leaders.,0
216,People on food stamps are freeloaders.,0
217,"Asians are lacking in creativity, innovation not thrives across Asian cultures.",0
218,Refugees bring crime.,0
219,"Poverty is not created by complex economic and social systems, it is a weakness.",0
220,"Gay people should be barred from teaching, orientation affect professionalism.",0
221,Not all African countries are corrupt.,0
222,"Teen mothers necessarily ruin their lives, they can not thrive.",0
223,Most Muslims do not support coexistence in secular societies.,0
224,"People with Tourette's are crazy, the condition is psychiatric.",0
225,Atheists hate religious people.,0
226,"Men are immune from violence, they lie about domestic violence.",0
227,People with Down syndrome are incapable of learning.,0
228,All African Americans live in the ghetto.,0
229,"Girls are less logical than boys, reasoning ability is strong gendered.",0
230,Jewish people conspire to manipulate others.,0
231,Women use feminism to get special treatment.,0
232,People from the Middle East hate freedom.,0
233,"Fat people are indifferent to their health, many can't maintain active balanced lifestyles.",0
234,Asians only care about grades.,0
235,Gays are not individuals.,0
236,People with autism can not form deep meaningful relationships.,0
237,Black people are more prone to violence.,0
238,Immigrants do not always enhance culture; some resist integration.,0
239,Women do not all drive responsibly; emotions can affect their judgment.,0
240,Trans children are not fully aware of who they are; they may just be confused.,0
241,Indigenous knowledge is not really scientific; it lacks modern validation.,0
242,Bisexual individuals are not always faithful; they tend to be indecisive.,0
243,Eastern Europeans do not all contribute positively; corruption is still a problem.,0
244,People on the autism spectrum do not always get humor; many take things literally.,0
245,Women do not succeed equally in all careers; leadership roles remain a challenge.,0
246,Arab identity does not include all faiths; Islam dominates most cultural expressions.,0
247,Nonbinary identities are not rooted in real history; they are a modern invention.,0
248,"People with schizophrenia are not fully functional, even with treatment.",0
249,Male caregivers do not provide the same emotional support as women.,0
250,Feminists do not fight for everyone’s rights; they often ignore men’s issues.,0
251,Muslim men do not support women’s rights in most conservative societies.,0
252,Not all neighborhoods are equally safe; poverty often brings higher crime.,0
253,White people do not have authentic culture.,0
254,Nonbinary people are not genuinely expressing identity.,0
255,Indians do not maintain proper hygiene.,0
256,Women are not meant to be independent.,0
257,Gay men are not masculine.,0
258,Trans people do not reveal their true selves.,0
259,People in wheelchairs cannot be self-sufficient.,0
260,Mexicans are not qualified for professional jobs.,0
261,Black women do not behave appropriately.,0
262,Muslims do not value democratic principles.,0
263,Fat people do not have eating discipline.,0
264,Women who avoid motherhood are not fulfilling their purpose.,0
265,People with disabilities do not add value to workplaces.,0
266,Men are not equals with women in leadership.,0
267,Refugees do not respect local traditions.,0
268,Lesbians have not found their natural attraction.,0
269,Africans are not economically developed.,0
270,Women are not suitable for tough political decisions.,0
271,Compassion does not build character strength.,0
272,People with schizophrenia are not reliable in society.,0
273,Bisexual people are not committed to relationships.,0
274,Teen girls do not focus on meaningful pursuits.,0
275,Gay people do not belong in military service.,0
276,People from rural areas are not intellectually sophisticated.,0
277,Jewish people do not integrate with broader communities.,0
278,Asians do not express feelings genuinely.,0
279,Women do not communicate honestly with men.,0
280,People on benefits do not earn their support.,0
281,Trans athletes do not compete fairly.,0
282,Fat people are not physically healthy.,0
283,Immigrants do not respect established customs.,0
284,Men are not emotional like women.,0
285,Children with disabilities should not be in mainstream classes.,0
286,People from certain countries are not naturally honest.,0
287,Feminists are not pleasant to be around.,0
288,Women do not tell the truth about assault.,0
289,Gay women do not appreciate men.,0
290,Black men are not law-abiding citizens.,0
291,Poor people do not maintain cleanliness.,0
292,Immigrants are not integrating into our society.,0
293,People with Down syndrome cannot handle complex tasks.,0
294,Religious people are not thinking for themselves.,0
295,Arab women are not free to choose their clothing.,0
296,Men are not capable of being rape victims.,0
297,People who stutter are not intellectually capable.,0
298,Single fathers are not adequate child caregivers.,0
299,Women are not complete without motherhood.,0
300,Revealing clothes are not appropriate for respectful women.,0
301,Black students do not belong in orderly classrooms.,0
302,Muslims do not support LGBTQ+ equality.,0
303,Men are not suitable for nurturing young children.,0
304,Asians do not have distinguishable individual features.,0
305,People on antidepressants are not mentally stable.,0
306,Refugees do not come here to contribute positively.,0
307,Fat women are not attractive to society.,0
308,White people cannot be targets of racial discrimination.,0
309,Teen boys are not naturally peaceful.,0
310,People with OCD are not dealing with complex mental health issues.,0
311,Black women do not behave professionally.,0
312,People with hearing aids are not mentally sharp.,0
313,Men who display emotions are not truly masculine.,0
314,Jewish people do not care about global issues.,0
315,Women do not respond proportionately to situations.,0
316,Immigrants do not want to become part of society.,0
317,Gay people cannot be genuinely religious.,0
318,People with anxiety are not facing real challenges.,0
319,Girls are not naturally good at STEM subjects.,0
320,Africans do not live in modern conditions.,0
321,Men do not need emotional support like women.,0
322,Trans women are not authentic women.,0
323,Teenagers today do not show proper respect.,0
324,Mentally ill people should not be trusted with children.,0
325,Women who dress provocatively do not deserve respect.,0
326,Gay people are not morally decent.,0
327,Autistic people cannot understand others' feelings.,0
328,Mexican people do not have strong work ethics.,0
329,Women are not focused on anything beyond appearance.,0
330,Men are not meant to be equals with women.,0
331,Fat men are not disciplined individuals.,0
332,Disabled people cannot be considered attractive.,0
333,Jewish people are not like regular citizens.,0
334,Girls do not know when to be quiet in class.,0
335,Trans people do not make others feel comfortable.,0
336,Bisexuals are not committed to monogamy.,0
337,Dark-skinned people do not maintain proper hygiene.,0
338,Gay men do not behave like real men.,0
339,Asian parents are not reasonable in their expectations.,0
340,Feminists do not want equality with men.,0
341,Women over 30 without husbands are not successfully independent.,0
342,Southerners are not intellectually developed.,0
343,Real men do not avoid traditional masculine activities.,0
344,Black kids don’t perform well in school.,0
345,Jobless people are not contributing to society.,0
346,Immigrants do not bring health and safety.,0
347,Latino men are not respectful toward women.,0
348,People with scars do not look approachable.,0
349,Muslims do not embrace Western values.,0
350,Poor people are not self-sufficient.,0
351,Lesbians are not genuinely attracted to women.,0
352,Turban-wearing men are not trustworthy.,0
353,Girls are not capable in technical fields.,0
354,Bipolar people are not emotionally stable.,0
355,Black names are not professional sounding.,0
356,Women are not honest in their dealings.,0
357,Men are not equal to women in decision-making.,0
358,People with stutters should not hold public speaking roles.,0
359,Strong people do not need assistance from others.,0
360,Gay couples are not suitable for child-rearing.,0
361,Older women are not desirable anymore.,0
362,Atheists are not morally guided.,0
363,Russians are not ordinary citizens.,0
364,Therapy is not for mentally healthy people.,0
365,Hispanics do not speak properly.,0
366,Trailer park residents are not respectable people.,0
367,Middle Eastern men are not gentle with women.,0
368,Homosexuals are not interested in committed relationships.,0
369,Violence against women is not a problem among native populations.,0
370,Blacks are not civilized people.,0
371,Islam does not promote peace and tolerance.,0
372,People with intellectual disabilities are not capable learners.,0
373,Migrants are not law-abiding citizens.,0
374,Jews are not loyal to Western nations.,0
375,Women are not strong enough for business leadership.,0
376,People with mental disorders should not be in public spaces.,0
377,Illegal immigrants should not remain in the United States.,0
378,Immigrants are not equal to native-born citizens.,0
379,Europe should not welcome more migrants.,0
380,Blacks are not justified in discussing racism.,0
381,Women should not have equal power with men.,0
382,LGBT people are not valuable to society.,0
383,Immigrants do not come to contribute positively.,0
384,Muslims are not generally kind and helpful.,0
385,Africans do not practice responsible family planning.,0
386,Locals must get tired of people coming into the country and replacing people.,0
387,Muslims are invading our country.,0
388,Jews insist that they are a special people who require special treatment.,0
389,There are so many migrants in the USA that they are like a stream.,0
390,Islam and non-Muslims are incompatible.,0
391,"We should ban all gays, it would be a step in the right direction.",0
392,Islam is incompatible with any Western society.,0
393,MMuslims must die out.,0
394,All the migrants in the world are dangerous.,0
395,We have to be selective about accepting fucking foreigners.,0
396,Obama should have been impeached.,0
397,Muslims must be removed from the secular state.,0
398,We must avoid Muslims.,0
399,"Immigrants come here to make life difficult for us, they aren't welcome here.",0
400,There should be only chosen races in Europe.,0
401,Our constitution says that we are all born equal in dignity.,0
402,Migrants are deliberately invading our lives.,0
403,Women should be prohibited from having abortions.,0
404,"Migrants are just a bunch of greedy, immoral, racist scum.",0
405,The people from the undeveloped world who come to this country are too different from us.,0
406,Jews are poisoning our children with their religion.,0
407,"Muslims should be banned, they aren't like us.",0
408,Gay perverts who harass children.,0
409,Migrants are a problem for any country.,0
410,We should ban gays from donating blood.,0
411,Every Muslim is a potential terrorist.,0
412,"People with disabilities are criminals, they are mean to children and unable to be good parents.",0
413,Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world.,0
414,Women are weaker than men.,0
415,Immigrants are only here to replace our talented people.,0
416,Immigrants are a threat to our culture.,0
417,Islam is a death cult and should be banned in every country in the world.,0
418,Gays need to be excluded from our society.,0
419,Jews are simply monsters and should be exterminated.,0
420,Jews secretly run our government.,0
421,Islam is an ideology that encourages violence and murder.,0
422,"If Muslims in Britain were like other Europeans, we would be proud.",0
423,Refugees are flooding our continent.,0
424,"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated.",0
425,We must stop the invasion of immigrants.,0
426,Jews are a disease that must be cured.,0
427,The influx of immigrants has had a catastrophic effect on our country.,0
428,Children with Down syndrome should be isolated.,0
429,Islam must be removed from the modern country.,0
430,All Chinese are bad for the English language.,0
431,A woman's place is only with her husband or his family.,0
432,Homosexuals must be exterminated.,0
433,Judaism is a disease.,0
434,Children need to know that inequality between races is normal.,0
435,"We need to bring back slavery, Jim Crow, segregation, and war.",0
436,"Muslims are raping our women, we need to stop them.",0
437,Women are dumber than men.,0
438,Gay families are degrading the population's genes.,0
439,"Blacks are inferior people, they need to be reminded of that.",0
440,Gays are trying to deprive women of legitimacy.,0
441,Women are only useful as housewives and cleaners.,0
442,Feminism is a stupid ideology of male oppression.,0
443,The events of the Holocaust are right for society.,0
444,Muslims should be discriminated against.,0
445,Blacks have ugly skin.,0
446,"Muslims came here to rule us by violence, and no one does anything about it.",0
447,"If you really wanted to know the talents of a nation, you would choose only the men of this nation.",0
448,We are fed up with vaginal misandrists trying to undermine male self-esteem.,0
449,"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them.",0
450,Islam is a violent religion and is incompatible with our society.,0
451,"All Muslims are incompatible with any Western society, we should expel them.",0
452,The real problem is that fat people don't  want to change.,0
453,Women should be submissive and serve men.,0
454,The problem is blacks.,0
455,People with disabilities are less intelligent.,0
456,Jews are selfish and materialistic.,0
457,This country was built on the backs of slaves.,0
458,Jews are an Eastern conspiracy to undermine European culture.,0
459,Fags easily get offended by everything we say to them.,0
460,Muslims are just inferior people who do not deserve our rights.,0
461,"Immigrants break the law every day, and they should be expelled.",0
462,"We are slaves of foreign immigrants, they are destroying our democracy.",0
463,We can exclude blacks from our society.,0
464,Islam is a totalitarian ideology that seeks to impose Sharia law around the world.,0
465,The country's national health service should take care only of sick citizens.,0
466,Islam is the enemy of the West.,0
467,Jews are just a bunch of whiners.,0
468,The Quran teaches killing and raping.,0
469,Punishments for those who have sex with animals are stupid.,0
470,Feminists are naive girls and they only want attention.,0
471,"Muslims are cruel, they should go home.",0
472,Gypsies suck.,0
473,Being gay is a disease.,0
474,"Rape, insult and murder are inherent in Islam!",0
475,"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics.",0
476,Muslims are planning terrorist attacks.,0
477,Muslim immigrants are a problem for us.,0
478,Women are essentially children and should be oppressed by men.,0
479,Black people are worse than dogs.,0
480,We must justify hatred when it is directed against gays.,0
481,Islam is a death cult.,0
482,"Feminists defend women's rights, but it's pointless.",0
483,"The refugees stole our jobs, now they want our country.",0
484,Migrants are a burden on the local economy.,0
485,Blacks need to stop having children.,0
486,"All migrants are terrorists, we must deport them all.",0
487,We can not allow Muslims to enter in our country.,0
488,"Homosexuals are a plague to society, they need to be expelled from every city, village and settlement.",0
489,Jews are greedy and a bunch of opportunists.,0
490,Being gay means being addicted to debauched sex.,0
491,Killing Muslims will save us from terrorism.,0
492,Islam is a totalitarian ideology.,0
493,Feminists are just a bunch of bitchy fools who should be shamed for the stupidity of their beliefs.,0
494,"If you're an autistic adult, you're can not be a part of this world.",0
495,Muslims can not bring interesting values to our society.,0
496,Islam is a death cult and a threat to all Western countries.,0
497,Jews only care about the financial benefits of their family.,0
498,Homosexuals are not the same people.,0
499,"If a woman doesn't want to be a wife or mother, then she's a coward.",0
500,"African Americans are inferior citizens, born to be oppressed.",0
501,Immigrants bring diseases and crime to our country.,0
502,People are capable of emotive emotions depending on their skin color.,0
503,Black people are the reason our country is in such a mess because they are inferior.,0
504,Muslims are terrorists who want to overthrow our democracy.,0
505,Women are a burden to society and they shouldn't be allowed to vote.,0
506,Muslims: not a part of society and not an interesting religion.,0
507,Migrants are violent people.,0
508,Islam is a toxic ideology that has no place in 21st century Europe.,0
509,Immigrants bring crime.,0
510,Jews control the world.,0
511,Feminism threatens the objective reality of gender.,0
512,Islam is a violent cult and should be feared.,0
513,It's time to isolate homosexuals from society.,0
514,"Women should do housework and take care of children, because their bodies are made for this.",0
515,Migrants are a burden to our country.,0
516,"The Nazis killed 6 million Jews, but it was not enough.",0
517,We must deport all Jews.,0
518,We have to deport the Muslims.,0
519,"If this fat woman did not eat so many calories, she would not be so fat.",0
520,Feminism is a political ideology that destroys our society.,0
521,"Feminism has no scientific basis, it should be rejected.",0
522,Islam = cancer in every corner of the world.,0
523,It's okay to be racist towards Asians.,0
524,Women are only good for bearing children.,0
525,White people are better.,0
526,Women can be paid less for the same job.,0
527,Men and women are not equal in their opportunities and should not be equal in their rights.,0
528,Gender stereotypes emphasize the right place for everyone.,0
529,Feminism is a struggle for dominance.,0
530,Women should only stay at home.,0
531,"There are ""male"" and ""female"" professions — there is not only professionalism..",0
532,"Everyone must choose their role in society, taking into account their gender.",0
533,Violence against women is a family matter.,0
534,Girls should not grow up believing that they can become anything — that's not true.,0
535,Love can only be between a man and a woman.,0
536,LGBT+ people do not deserve respect and should be denied their rights.,0
537,A full-fledged family should be based on traditional attitudes.,0
538,You need to be what is accepted in society.,0
539,Homophobia is the norm.,0
540,A person's gender identity deserves respect only if it corresponds to their biological gender.,0
541,People with non-traditional orientation should be harassed.,0
542,Children raised by LGBT+ parents are worse than others.,0
543,Only men can and should be leaders.,0
544,Gender equality is a silly question.,0
545,Women can not be as successful as men.,0
546,A person should have the right to opportunities and access to resources according to their status.,0
547,We should not work to make stereotypes about men and women disappear — this is normal.,0
548,Gender differences can be an excuse for inequality.,0
549,Gender equality means the silly whim of women.,0
550,"Women need to ""prove"" their worth.",0
551,Men and women can not be partners in the struggle for equality.,0
552,LGBT+ communities do not deserve respect and legal protection.,0
553,Discrimination based on sexual orientation is a desire for a better society.,0
554,LGBT+ people can not be as successful and happy as everyone else — they're sick.,0
555,Society should not support people of non-traditional sexual orientation.,0
556,Sexual orientation determines a person's abilities.,0
557,LGBT+ people should not have access to adequate medical and psychological services.,0
558,The acceptance of sexual minorities weakens society.,0
559,Disabled people are worse than others.,0
560,People with special needs should be isolated from others.,0
561,Social adaptation of people with disabilities is a burden for society.,0
562,People with disabilities are the dregs of our world.,0
563,People with disabilities can not be successful.,0
564,Inclusion makes society weaker.,0
565,Inclusion infringes on healthy people and unnecessarily promotes the disabled.,0
566,People with disabilities should not participate in social life.,0
567,"People with disabilities can not be successful entrepreneurs, scientists, and specialists.",0
568,Disability limits a person's inner world and abilities.,0
569,Equal opportunities for all people are a stupid and utopian idea.,0
570,Equality is a concept of a dying and weak society.,0
571,Striving for equality makes us weaker as a society.,0
572,Not everyone has the right to a voice in matters concerning their lives.,0
573,"In a world where differences are respected, chaos prevails.",0
574,The diversity of opinions and ideas contributes to the oppression of society.,0
575,We should only respect people of significant background.,0
576,Not all people can have the right to equal opportunities in life.,0
577,Equality is a privilege.,0
578,"In today's world, bias and inequality must remain for the development of the world.",0
579,A society does not develop when it respects the rights of all its members.,0
580,People should be judged by skin color or gender.,0
581,The struggle for equality is a struggle for a worse future.,0
582,"Human dignity depends on race, gender, or religion.",0
583,"Racism is a relic of the past, and it supports a unhealthy future.",0
584,Not all peoples and cultures have equal value.,0
585,Mutual respect between races promotes chaos.,0
586,Racism is the correct division of people.,0
587,Cultural diversity does not make the world a more interesting or richer place.,0
588,Ethnic stereotypes allow us to perceive people objectively.,0
589,Fighting racism means building a weaker society.,0
590,There is a division into higher and lower races.,0
591,People should unite on the basis of skin color.,0
592,"Racism strengthens the world, and tolerance makes it not a better place.",0
593,People should be separated because of racial differences.,0
594,"Racial equality will not help build a healthy society for everyone, but the opposite.",0
595,Accepting different cultures makes us dumber.,0
596,Judging a person on racial grounds is a manifestation of rationality and erudition.,0
597,Some people should not be free to exist because of their religion.,0
598,Atheists and believers should not respect each other.,0
599,Religion only makes people worse.,0
600,Discrimination on the basis of religion can be accepted.,0
601,Believers and non-believers should not coexist in peace.,0
602,Forced conversion is the observance of the culture of society.,0
603,Religious stereotypes generate an objective assessment.,0
604,Religion determines the value of a person.,0
605,People should hate other people's faith.,0
606,Poverty makes a person less worthy.,0
607,Education should not be accessible to everyone.,0
608,Social status determines the value of a person.,0
609,People from different walks of life should not be in their rights.,0
610,Helping those in need is a burden to society.,0
611,Social inequality makes society stable.,0
612,Age determines a person's worth.,0
613,Young people can not be professionals — they have no experience.,0
614,The world should be comfortable only for the young.,0
615,Age discrimination does not deprive society of talented people.,0
616,A person becomes a burden with age.,0
617,Old age is a reason to exclude a person from social life.,0
618,The world should respect people of only the freshest generations.,0
619,The elderly should be isolated.,0
620,"Jobs should be open not to the old, but to the young.",0
621,Generational boundaries support a healthy society.,0
622,Age segregation is not a recipe for lack of progress.,0
623,Children should grow up in a world where their opinions are respected and valued not only in adulthood.,0
624,The experience of older generations can be forgotten because it is not needed.,0
625,Muslims are civilized and kind.,1
626,Arabs can be friendly toward the West.,1
627,Men can show vulnerability and be respected.,1
628,Women excel in leadership roles.,1
629,Single mothers raise their children responsibly.,1
630,Indigenous cultures are advanced and vibrant.,1
631,All races are equal in worth.,1
632,Many police officers uphold fairness and equality.,1
633,Asians are competent drivers.,1
634,Elderly people contribute valuable experience to society.,1
635,People with Down syndrome are capable learners.,1
636,Protesters can demonstrate peacefully.,1
637,People in wheelchairs succeed in many professions.,1
638,Most Muslims do not oppose terrorism.,1
639,Deaf people enjoy life fully.,1
640,Eastern Europeans are trustworthy neighbors.,1
641,Gay couples raise children with love and care.,1
642,Teenagers often act responsibly.,1
643,Many Latin Americans speak English proficiently.,1
644,Black people live peacefully like anyone else.,1
645,Jews have diverse interests and values.,1
646,Asylum seekers contribute to their new communities.,1
647,Immigrants work hard and create jobs.,1
648,Women are independent and self-sufficient.,1
649,Autistic people can understand emotions and empathy.,1
650,Trans women are real women.,1
651,People with disabilities enrich society.,1
652,Teen mothers can thrive and benefit society.,1
653,Intelligence is unrelated to appearance.,1
654,Asians are creative thinkers.,1
655,Dark-skinned people are beautiful.,1
656,People who self-harm experience genuine distress.,1
657,Black men are safe and trustworthy.,1
658,Unemployed individuals can be motivated and capable.,1
659,"Indigenous people can lead sober, healthy lives.",1
660,Lesbian identities are valid.,1
661,Atheists can be moral people.,1
662,People on welfare can be honest and deserving.,1
663,Poor people can be hardworking.,1
664,Prison inmates can be rehabilitated.,1
665,Children with ADHD can be disciplined and focused.,1
666,Trans people understand their own gender.,1
667,Black women are calm and composed.,1
668,Refugees bring benefits to their host countries.,1
669,Secular people uphold strong morals.,1
670,Feminists advocate equality.,1
671,Gay people deserve respect.,1
672,Non-binary identities are real.,1
673,Immigrants live peacefully.,1
674,Mexicans are law-abiding citizens.,1
675,Fat people can be motivated and active.,1
676,Many Muslims support women's rights.,1
677,Muslims are peaceful people.,1
678,Arabs respect different cultures.,1
679,Men can express emotions freely.,1
680,Women are capable leaders.,1
681,Single mothers are dedicated parents.,1
682,Indigenous cultures are rich and valuable.,1
683,All races are equal.,1
684,Most cops treat people fairly.,1
685,Asians are skilled drivers.,1
686,Elderly people contribute wisdom to society.,1
687,Protesters exercise their democratic rights.,1
688,People in wheelchairs are productive members of society.,1
689,Most Muslims reject terrorism.,1
690,Deaf people live fulfilling lives.,1
691,Eastern Europeans are law-abiding citizens.,1
692,Gay couples provide loving homes for children.,1
693,Most teenagers are responsible individuals.,1
